Salario_anual,Sexo,Periodo,Total
Salario a tiempo completo,Mujeres,2021,28185.85
Salario a tiempo completo,Mujeres,2020,27466.76
Salario a tiempo completo,Mujeres,2019,26939.88
Salario a tiempo completo,Mujeres,2018,26274.06
Salario a tiempo completo,Mujeres,2017,25416.75
Salario a tiempo completo,Mujeres,2016,24813.73
Salario a tiempo completo,Mujeres,2015,25045.91
Salario a tiempo completo,Mujeres,2014,25041.55
Salario a tiempo completo,Mujeres,2013,23994.34
Salario a tiempo completo,Mujeres,2012,23674.19
Salario a tiempo completo,Mujeres,2011,23692.76
Salario a tiempo completo,Mujeres,2010,23932.01
Salario a tiempo completo,Mujeres,2009,22898.25
Salario a tiempo completo,Hombres,2021,30740.07
Salario a tiempo completo,Hombres,2020,29918.94
Salario a tiempo completo,Hombres,2019,29501.75
Salario a tiempo completo,Hombres,2018,29354.53
Salario a tiempo completo,Hombres,2017,28716.71
Salario a tiempo completo,Hombres,2016,28363.24
Salario a tiempo completo,Hombres,2015,28509.14
Salario a tiempo completo,Hombres,2014,28318.14
Salario a tiempo completo,Hombres,2013,28095.6
Salario a tiempo completo,Hombres,2012,27898.06
Salario a tiempo completo,Hombres,2011,27595.54
Salario a tiempo completo,Hombres,2010,27335.23
Salario a tiempo completo,Hombres,2009,26523.55
